#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
relay-3 alix 48 44 15 2600 522 4.98327724444000000000 .00623627662292515773 .002 .26708918802333333333 .00966998135459897771 .00047169811320754716 1.33097947291263358374 .00241053490479495027 -1 OK
relay-3 alix 48 44 15 2600 747 4.98303541608333333333 .00629422072950707933 .002 .26822319490333333333 .00996535165172665444 .00047169811320754716 1.33656567961833262934 .00241092730408762636 -1 OK
relay-3 alix 48 44 15 2600 972 4.98271029863333333333 .00632893541623679945 .002 .26937262709666666666 .01011156492270016481 .00047169811320754716 1.34220576320447750526 .00241129037650797876 -1 OK
relay-3 alix 48 44 15 2600 372 4.98344442290666666666 .00615902077323602635 .002 .26631918496333333333 .00937857844549450308 .00047169811320754716 1.32718685701857250220 .00241027101290734316 -1 OK
relay-3 alix 48 44 15 2600 222 4.98348157652333333333 .00607459755989035787 .002 .26554019931333333333 .00907212615543442826 .00047169811320754716 1.32331469110433055543 .00240994429508319756 -1 OK|2590+/-1
relay-3 alix 48 44 15 2600 897 4.98294098363000000000 .00634319855766514375 .002 .26897637668666666666 .01011488056685611191 .00047169811320754716 1.34029341102029220027 .00241121950573291439 -1 OK
relay-3 alix 48 44 15 2600 297 4.98403224480000000000 .00615981901931981439 .002 .26592989435333333333 .00927123899008182616 .00047169811320754716 1.32540316831327077767 .00241036951568545605 -1 OK
relay-3 alix 48 44 15 2600 1347 4.98246586397666666666 .00628119352457938203 .002 .27126293955666666666 .00992082378058167506 .00047169811320754716 1.35155833650305749166 .00241202553664811558 -1 OK
relay-3 alix 48 44 15 2600 72 4.98401801693000000000 .00585918352534480524 .002 .26477449442666666666 .00859378402956513446 .00047169811320754716 1.31964085064603853727 .00240985413317009915 -1 OK
relay-3 alix 48 44 15 2600 672 4.98327413573333333333 .00627853666070248569 .002 .26790764207666666666 .00986950125103496301 .00047169811320754716 1.33505722352595629117 .00241089674495248344 -1 OK|2590+/-1
relay-3 alix 48 44 15 2600 597 4.98332654650333333333 .00625318016442044711 .002 .26753762602000000000 .00976250811034239141 .00047169811320754716 1.33322735393394693201 .00241075648821101381 -1 OK
relay-3 alix 48 44 15 2600 147 4.98372770077666666666 .00597829884832040827 .002 .26515501842666666666 .00886197334698273960 .00047169811320754716 1.32146041033292614960 .00240988789767482337 -1 OK
relay-3 alix 48 44 15 2600 1422 4.98234334989333333333 .00627407880815696241 .002 .27151502419000000000 .00990226519303713053 .00047169811320754716 1.35278107516917403391 .00241208268098520619 -1 OK|2546+/-24
relay-3 alix 48 44 15 2600 1197 4.98269052567666666666 .00631240351514311543 .002 .27051519563666666666 .01006248629819661568 .00047169811320754716 1.34789350235038895826 .00241179287518037087 -1 OK|2590+/-2
relay-3 alix 48 44 15 2600 1047 4.98292725293000000000 .00635561395905769830 .002 .26980513220000000000 .01014598730257686504 .00047169811320754716 1.34441934621976148734 .00241158353183138568 -1 OK|2590+/-1
relay-3 alix 48 44 15 2600 1272 4.98256404676666666666 .00629130617970473838 .002 .27094555978333333333 .00998664288635557499 .00047169811320754716 1.35000360480750514584 .00241192797099997992 -1 OK|2590+/-1
