#TXnode RXnode MCS CHANNEL TXPOWER FPS SIZE Vmu Vsd Verr Imu Isd Ierr Pmu Perr loss status
192-168-0-110 node-2 24 44 15 500 872 11.97233260587333333333 .00806701013357483951 .002 .38987113001333333333 .07969596717285730129 .00047169811320754716 4.66766684194731220490 .00570090316165635635 -8763 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 897 11.97233092098666666666 .00806026983297805979 .002 .38972456813333333333 .07956606344718623893 .00047169811320754716 4.66591149773088158984 .00570086228969134545 -8559 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 1022 11.97233611523333333333 .00807629104466759976 .002 .39089859933000000000 .08038175688094233922 .00047169811320754716 4.67996941815268347612 .00570118622946555921 -8619 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 672 11.97231400126000000000 .00788433051338394996 .002 .38688232703000000000 .07779778293864741361 .00047169811320754716 4.63187670074131915205 .00570007995446402927 -8581 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 697 11.97231229072000000000 .00800613213855737457 .002 .38627965785333333333 .07829994954224894039 .00047169811320754716 4.62466069537257903774 .00569991565994822681 -8412 ERR|0+/-0
192-168-0-110 node-2 24 44 15 500 847 11.97232284651333333333 .00798071010925351992 .002 .38816655469000000000 .07938879720736618163 .00047169811320754716 4.64725531096745427914 .00570043331411178601 -8486 ERR|0+/-0
192-168-0-110 node-2 24 44 15 600 522 11.97235427128000000000 .00792715541705496272 .002 .39703185858333333333 .07708593817294791152 .00047169811320754716 4.75340606794440776311 .00570288974815422413 -11196 ERR|0+/-0
192-168-0-110 node-2 24 44 15 600 822 11.97235948873333333333 .00788776463729593670 .002 .40200905694000000000 .07959779748361792435 .00047169811320754716 4.81299694741234788847 .00570428674042933171 -11590 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 1147 11.97239237530000000000 .00779797566372397766 .002 .40636696834000000000 .08143123896257320798 .00047169811320754716 4.86518479332759249800 .00570553711325430254 -11404 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 247 11.97231702548666666666 .00793778508919485486 .002 .39253057059333333333 .07398759128091030833 .00047169811320754716 4.69950043333856056247 .00570162580803581584 -10959 OK|590+/-4
192-168-0-110 node-2 24 44 15 600 572 11.97236018518000000000 .00781348195222691737 .002 .39791441426333333333 .07732824721273851898 .00047169811320754716 4.76397469043555269991 .00570313855033778834 -11162 OK|591+/-4
192-168-0-110 node-2 24 44 15 600 497 11.97234292066666666666 .00789530855652246753 .002 .39731810267666666666 .07663248632623307557 .00047169811320754716 4.75682857383370195090 .00570296418708507321 -11314 OK|590+/-3
192-168-0-110 node-2 24 44 15 600 772 11.97236592402000000000 .00784435847248113209 .002 .40122397186333333333 .07868425932963544456 .00047169811320754716 4.80360020863653126445 .00570406864239295072 -11308 OK|590+/-3
